threads,taskToThreadsRatio,time
1,1,1601
1,1,1270
1,1,1451
1,1,294
1,1,1766
1,1,500
1,1,618
1,1,335
1,1,592
1,1,307
1,10,325
1,10,284
1,10,312
1,10,279
1,10,301
1,10,279
1,10,428
1,10,435
1,10,391
1,10,345
1,50000,24212
1,50000,25482
1,50000,13141
1,50000,17551
1,50000,16347
1,50000,16046
1,50000,16091
1,50000,16567
1,50000,12121
1,50000,11947
4,1,633
4,1,1439
4,1,2115
4,1,1096
4,1,1176
4,1,862
4,1,6331
4,1,1805
4,1,3469
4,1,649
4,10,505
4,10,622
4,10,902
4,10,2949
4,10,1820
4,10,598
4,10,533
4,10,1797
4,10,663
4,10,626
4,50000,41102
4,50000,33002
4,50000,33157
4,50000,29173
4,50000,38238
4,50000,28228
4,50000,28599
4,50000,27969
4,50000,25832
4,50000,24949
8,1,1104
8,1,829
8,1,861
8,1,877
8,1,909
8,1,704
8,1,949
8,1,1153
8,1,962
8,1,1855
8,10,1612
8,10,4090
8,10,1400
8,10,1155
8,10,1211
8,10,943
8,10,880
8,10,851
8,10,1375
8,10,807
8,50000,42929
8,50000,40797
8,50000,47096
8,50000,47183
8,50000,44689
8,50000,38425
8,50000,38281
8,50000,44271
8,50000,38690
8,50000,41985
